nome,trabalho,renda_mensal,renda_anual,data_nascimento,idade,score_credito,possui_historico_inadimplencia,tempo_emprego_atual,valor_solicitado,prazo_pagamento,possui_outros_emprestimos,valor_outros_emprestimos,credito_aprovado,valor_aprovado
Apollo Fogaça,Aposentado/Pensionista,10692.6,132871.63,18/04/1950,75,523,Sim,14.7,49171.07609601961,60,Não,0.0,Sim,38574.71
Diego Pinto,Aposentado/Pensionista,6098.97,79369.99,26/04/1993,32,694,Não,14.0,25000.805168103572,48,Não,0.0,Sim,25000.81
Rafaela Vieira,Profissional Liberal,18239.35,240810.98,06/08/1948,76,651,Sim,26.0,86586.72534142846,18,Não,0.0,Sim,84551.94
Srta. Julia Correia,Funcionário de Empresa Privada,7110.74,87786.5,30/11/1990,34,551,Sim,15.6,27590.21590312073,12,Não,0.0,Sim,22803.31
Ana Sophia Azevedo,Funcionário de Empresa Privada,9921.79,133328.29,26/08/2001,23,398,Não,5.0,37857.495580681025,18,Sim,69899.64305781233,Não,0.0
Arthur Miguel Martins,Funcionário Público,4435.76,60400.38,04/10/1982,42,705,Não,6.6,12465.58161997883,6,Não,0.0,Sim,12465.58
Caio Melo,Profissional Liberal,5379.58,74767.77,13/02/2005,20,398,Não,2.0,23889.20918572193,6,Não,0.0,Não,0.0
Maysa Borges,Funcionário de Empresa Privada,17554.88,233728.51,09/03/1951,74,783,Não,20.3,56332.3015284704,24,Não,0.0,Sim,56332.3
Dr. Luiz Felipe Cirino,Empresário/Autônomo,26324.58,330828.91,25/10/2005,19,588,Não,1.0,82241.68008696038,12,Não,0.0,Sim,72537.16
Matteo Freitas,Profissional Liberal,10327.13,129256.79,13/10/1991,33,641,Não,15.0,58627.92078896857,48,Sim,32764.92099557733,Não,0.0
Dra. Ana Vitória Nogueira,Funcionário Público,8363.37,114496.49,17/07/1984,40,444,Não,3.1,49177.44877443296,36,Sim,64765.733415598144,Não,0.0
Nathan da Mota,Profissional Liberal,22251.69,267827.1,08/09/1968,56,717,Não,32.7,70092.2922464652,12,Não,0.0,Sim,70092.29
Eloah Moreira,Estudante,1724.75,20990.35,06/12/1983,41,341,Não,6.7,9299.47982681402,18,Não,0.0,Não,0.0
Arthur Novais,Desempregado,312.0,3889.93,03/03/2002,23,506,Não,5.0,933.723301302278,18,Não,0.0,Sim,708.7
Julia da Cunha,Funcionário de Empresa Privada,8170.39,103215.84,31/12/1976,48,596,Não,18.2,28841.799048985566,36,Não,0.0,Sim,25784.57
Liz Araújo,Funcionário Público,8582.59,118669.82,01/04/1954,71,706,Não,26.9,17413.340441097072,12,Sim,70928.8207748776,Não,0.0
Renan Costela,Funcionário de Empresa Privada,11815.73,159581.27,09/07/1968,56,632,Não,35.4,55022.1771252398,6,Sim,76223.62034483327,Não,0.0
Clara Ramos,Funcionário de Empresa Privada,8335.73,112543.63,23/12/1947,77,622,Sim,21.2,6753.829008950469,60,Não,0.0,Sim,6301.32
Apollo Caldeira,Funcionário de Empresa Privada,10281.02,132000.6,12/12/1991,33,474,Não,9.2,62282.412206338864,24,Sim,52072.73915881043,Não,0.0
Cecília Vargas,Funcionário de Empresa Privada,17815.73,246760.17,10/11/1955,69,351,Sim,39.0,25637.92681090875,12,Não,0.0,Não,0.0
Pedro Fernandes,Funcionário de Empresa Privada,10646.25,142245.04,29/04/1948,77,566,Sim,24.1,28909.294452120044,12,Não,0.0,Sim,24543.99
Liz Barbosa,Aposentado/Pensionista,3340.52,41748.57,27/01/1993,32,714,Não,14.0,11963.702056079837,48,Não,0.0,Sim,11963.7
Alana Castro,Funcionário de Empresa Privada,1864.59,22570.74,01/09/2000,24,537,Sim,5.6,1433.1245293881962,48,Não,0.0,Sim,1154.38
Emanuella Costa,Funcionário de Empresa Privada,7495.19,98791.25,26/09/1959,65,768,Não,34.4,38978.39351488748,24,Não,0.0,Sim,38978.39
Catarina Peixoto,Profissional Liberal,30697.36,411097.02,03/02/1956,69,367,Sim,34.5,57596.74441533076,24,Não,0.0,Não,0.0
Eloá Lopes,Funcionário Público,16040.2,201579.99,28/08/1960,64,391,Não,10.1,7238.619498621254,48,Não,0.0,Não,0.0
Jade Pastor,Aposentado/Pensionista,5603.62,77261.0,18/08/1973,51,699,Não,33.0,3840.1082792194215,18,Não,0.0,Sim,3840.11
Igor da Cruz,Empresário/Autônomo,31911.2,401518.73,03/09/1977,47,839,Não,26.1,86485.75205763654,6,Não,0.0,Sim,86485.75
Luiz Fernando Souza,Funcionário de Empresa Privada,6527.96,84423.49,08/05/1987,38,664,Não,19.0,31699.535102992642,18,Sim,65617.607111925,Não,0.0
Antony Mendonça,Empresário/Autônomo,13433.57,158874.79,11/09/2003,21,449,Não,3.0,23648.96667169632,60,Não,0.0,Não,0.0
João Gabriel da Costa,Funcionário de Empresa Privada,11763.84,138443.33,26/01/1979,46,603,Sim,7.9,50238.16211335685,24,Não,0.0,Sim,45440.42
Luana Borges,Aposentado/Pensionista,10352.05,126845.55,02/05/1965,60,669,Não,33.9,2709.7282289208656,6,Não,0.0,Sim,2709.73
Apollo Marques,Profissional Liberal,13008.13,167786.04,23/09/1968,56,463,Não,7.4,75378.11508603964,24,Sim,89240.98920514279,Não,0.0
Lucas Gabriel Câmara,Empresário/Autônomo,16343.18,205860.76,21/05/2007,18,406,Não,0.0,58842.080465779785,24,Sim,79891.09987809899,Não,0.0
